År,Region,Effektklass,Solcellsanläggningar, Antal Installerad effekt (MW)
2016,0767 Markaryd,20 kW - 1 000 kW,0,0
2016,0767 Markaryd,> 1 000 kW,0,0
2016,0767 Markaryd,Totalt,17,0.15
2016,0780 Växjö,< 20 kw,62,0.47
2016,0780 Växjö,20 kW - 1 000 kW,12,0.58
2016,0780 Växjö,> 1 000 kW,0,0
2016,0780 Växjö,Totalt,74,1.04
2016,0781 Ljungby,< 20 kw,45,0.35
2016,0781 Ljungby,20 kW - 1 000 kW,9,0.7
2016,0781 Ljungby,> 1 000 kW,0,0
2016,0781 Ljungby,Totalt,54,1.05
2016,0821 Högsby,< 20 kw,9,0.06
2016,0821 Högsby,20 kW - 1 000 kW,2,0.06
2016,0821 Högsby,> 1 000 kW,0,0
2016,0821 Högsby,Totalt,11,0.13
2016,0834 Torsås,< 20 kw,8,0.07
2016,0834 Torsås,20 kW - 1 000 kW,0,0
2016,0834 Torsås,> 1 000 kW,0,0
2016,0834 Torsås,Totalt,8,0.07
2016,0840 Mörbylånga,< 20 kw,34,0.23
2016,0840 Mörbylånga,20 kW - 1 000 kW,4,0.15
2016,0840 Mörbylånga,> 1 000 kW,0,0
2016,0840 Mörbylånga,Totalt,38,0.38
2016,0860 Hultsfred,< 20 kw,14,0.1
2016,0860 Hultsfred,20 kW - 1 000 kW,1,0.02
2016,0860 Hultsfred,> 1 000 kW,0,0
2016,0860 Hultsfred,Totalt,15,0.13
2016,0861 Mönsterås,< 20 kw,7,0.06
2016,0861 Mönsterås,20 kW - 1 000 kW,6,0.57
2016,0861 Mönsterås,> 1 000 kW,0,0
2016,0861 Mönsterås,Totalt,13,0.63
2016,0862 Emmaboda,< 20 kw,16,0.16
2016,0862 Emmaboda,20 kW - 1 000 kW,0,0
2016,0862 Emmaboda,> 1 000 kW,0,0
2016,0862 Emmaboda,Totalt,16,0.16
2016,0880 Kalmar,< 20 kw,68,0.5
2016,0880 Kalmar,20 kW - 1 000 kW,2,0.55
2016,0880 Kalmar,> 1 000 kW,0,0
2016,0880 Kalmar,Totalt,70,1.05
2016,0881 Nybro,< 20 kw,12,0.1
2016,0881 Nybro,20 kW - 1 000 kW,0,0
2016,0881 Nybro,> 1 000 kW,0,0
2016,0881 Nybro,Totalt,12,0.1
2016,0882 Oskarshamn,< 20 kw,22,0.17
2016,0882 Oskarshamn,20 kW - 1 000 kW,3,0.07
2016,0882 Oskarshamn,> 1 000 kW,0,0
2016,0882 Oskarshamn,Totalt,25,0.24
2016,0883 Västervik,< 20 kw,69,0.56
2016,0883 Västervik,20 kW - 1 000 kW,11,0.47
2016,0883 Västervik,> 1 000 kW,0,0
2016,0883 Västervik,Totalt,80,1.03
2016,0884 Vimmerby,< 20 kw,22,0.17
2016,0884 Vimmerby,20 kW - 1 000 kW,7,0.36
2016,0884 Vimmerby,> 1 000 kW,0,0
2016,0884 Vimmerby,Totalt,29,0.53
2016,0885 Borgholm,< 20 kw,44,0.31
2016,0885 Borgholm,20 kW - 1 000 kW,2,0.1
2016,0885 Borgholm,> 1 000 kW,0,0
2016,0885 Borgholm,Totalt,46,0.41
2016,0980 Gotland,< 20 kw,217,1.52
2016,0980 Gotland,20 kW - 1 000 kW,25,0.76
2016,0980 Gotland,> 1 000 kW,0,0
2016,0980 Gotland,Totalt,242,2.28
2016,1060 Olofström,< 20 kw,17,0.13
2016,1060 Olofström,20 kW - 1 000 kW,0,0
2016,1060 Olofström,> 1 000 kW,0,0
2016,1060 Olofström,Totalt,17,0.13
2016,1080 Karlskrona,< 20 kw,85,0.63
2016,1080 Karlskrona,20 kW - 1 000 kW,5,1.02
2016,1080 Karlskrona,> 1 000 kW,0,0
2016,1080 Karlskrona,Totalt,90,1.64
2016,1081 Ronneby,< 20 kw,29,0.24
2016,1081 Ronneby,20 kW - 1 000 kW,9,0.43
2016,1081 Ronneby,> 1 000 kW,0,0
2016,1081 Ronneby,Totalt,38,0.67
2016,1082 Karlshamn,< 20 kw,29,0.23
2016,1082 Karlshamn,20 kW - 1 000 kW,6,0.3
2016,1082 Karlshamn,> 1 000 kW,0,0
2016,1082 Karlshamn,Totalt,35,0.53
2016,1083 Sölvesborg,< 20 kw,26,0.17
2016,1083 Sölvesborg,20 kW - 1 000 kW,3,0.1
2016,1083 Sölvesborg,> 1 000 kW,0,0
2016,1083 Sölvesborg,Totalt,29,0.27
2016,1214 Svalöv,< 20 kw,14,0.12
2016,1214 Svalöv,20 kW - 1 000 kW,7,0.35
2016,1214 Svalöv,> 1 000 kW,0,0
2016,1214 Svalöv,Totalt,21,0.47
2016,1230 Staffanstorp,< 20 kw,12,0.11
2016,1230 Staffanstorp,20 kW - 1 000 kW,4,0.1
2016,1230 Staffanstorp,> 1 000 kW,0,0
2016,1230 Staffanstorp,Totalt,16,0.21
2016,1231 Burlöv,< 20 kw,9,0.09
2016,1231 Burlöv,20 kW - 1 000 kW,1,0.1
2016,1231 Burlöv,> 1 000 kW,0,0
2016,1231 Burlöv,Totalt,10,0.19
2016,1233 Vellinge,< 20 kw,31,0.27
2016,1233 Vellinge,20 kW - 1 000 kW,2,0.05
2016,1233 Vellinge,> 1 000 kW,0,0
2016,1233 Vellinge,Totalt,33,0.33
2016,1256 Östra Göinge,< 20 kw,31,0.23
2016,1256 Östra Göinge,20 kW - 1 000 kW,1,0.05
2016,1256 Östra Göinge,> 1 000 kW,0,0
2016,1256 Östra Göinge,Totalt,32,0.28
2016,1257 Örkelljunga,< 20 kw,14,0.09
2016,1257 Örkelljunga,20 kW - 1 000 kW,1,0.05
2016,1257 Örkelljunga,> 1 000 kW,0,0
2016,1257 Örkelljunga,Totalt,15,0.14
2016,1260 Bjuv,< 20 kw,9,0.09
2016,1260 Bjuv,20 kW - 1 000 kW,1,0.02
2016,1260 Bjuv,> 1 000 kW,0,0
2016,1260 Bjuv,Totalt,10,0.11
2016,1261 Kävlinge,< 20 kw,33,0.27
2016,1261 Kävlinge,20 kW - 1 000 kW,4,0.16
2016,1261 Kävlinge,> 1 000 kW,0,0
2016,1261 Kävlinge,Totalt,37,0.42
2016,1262 Lomma,< 20 kw,10,0.05
2016,1262 Lomma,20 kW - 1 000 kW,2,0.07
2016,1262 Lomma,> 1 000 kW,0,0
2016,1262 Lomma,Totalt,12,0.12
2016,1263 Svedala,< 20 kw,7,0.07
2016,1263 Svedala,20 kW - 1 000 kW,6,0.22
2016,1263 Svedala,> 1 000 kW,0,0
2016,1263 Svedala,Totalt,13,0.29
2016,1264 Skurup,< 20 kw,13,0.13
2016,1264 Skurup,20 kW - 1 000 kW,3,0.07
2016,1264 Skurup,> 1 000 kW,0,0
2016,1264 Skurup,Totalt,16,0.2
2016,1265 Sjöbo,< 20 kw,26,0.2
2016,1265 Sjöbo,20 kW - 1 000 kW,6,0.14
2016,1265 Sjöbo,> 1 000 kW,0,0
2016,1265 Sjöbo,Totalt,32,0.34
2016,1266 Hörby,< 20 kw,25,0.21
2016,1266 Hörby,20 kW - 1 000 kW,3,0.07
2016,1266 Hörby,> 1 000 kW,0,0
2016,1266 Hörby,Totalt,28,0.28
2016,1267 Höör,< 20 kw,29,0.23
2016,1267 Höör,20 kW - 1 000 kW,3,0.11
2016,1267 Höör,> 1 000 kW,0,0
2016,1267 Höör,Totalt,32,0.34
2016,1270 Tomelilla,< 20 kw,28,0.24
2016,1270 Tomelilla,20 kW - 1 000 kW,5,0.24
